serialid,tnscntry,isocntry,corruption,patronage,public_tender,widespread,abuse,bidding,procurement_national,procurement_local,transparency,connections,favouritism,petty_corruption,bribing,reported,court,fined,sector,employees,age,turnover
1566,7,FR,4,3,9,2,2,2,2,2,4,3,1,3,3,3,3,3,1,3,4,1
1567,7,FR,1,1,2,1,2,3,3,3,2,1,1,4,4,4,3,4,2,1,3,1
1568,7,FR,3,2,9,1,2,2,2,2,3,2,2,3,3,4,3,4,2,1,3,3
1570,7,FR,4,4,9,3,5,5,3,3,3,4,2,4,3,3,3,3,3,2,4,3
1571,7,FR,1,2,4,2,3,2,2,2,4,3,2,2,1,3,3,3,4,2,4,1
1572,7,FR,4,4,2,1,3,2,1,3,4,3,1,3,4,4,4,4,4,2,4,3
1573,7,FR,1,1,9,1,2,2,1,1,4,3,1,3,3,3,3,2,4,2,4,3
1577,7,FR,4,3,1,3,3,3,3,3,3,4,2,3,3,3,3,3,5,2,4,2
1578,7,FR,4,3,2,3,3,2,3,3,4,3,3,3,4,4,4,3,1,2,4,1
1580,7,FR,4,4,9,3,3,3,3,3,3,2,2,2,2,3,3,3,1,4,4,2
1582,7,FR,4,4,9,4,4,3,2,2,4,4,2,2,4,2,4,2,1,2,4,3
1583,7,FR,1,1,9,2,2,2,2,2,3,3,2,2,2,2,2,2,5,2,4,1
1584,7,FR,1,2,9,2,4,3,3,3,4,4,2,3,2,2,2,2,5,2,3,1
1586,7,FR,1,2,9,4,3,4,4,4,4,4,4,2,1,4,2,2,5,2,4,2
1589,7,FR,4,3,9,3,3,4,3,3,3,4,2,3,2,3,2,2,6,4,4,1
1590,7,FR,4,4,9,4,4,4,3,4,3,2,2,3,2,3,3,3,2,2,3,3
1591,7,FR,1,1,2,2,2,2,2,1,3,3,1,4,1,4,3,3,5,1,4,2
1592,7,FR,4,2,9,3,3,3,2,2,3,2,2,2,2,3,2,3,1,2,4,1
1594,7,FR,1,1,9,1,1,1,1,1,4,3,2,2,3,3,3,3,4,1,2,3
1595,7,FR,2,2,2,2,3,3,3,2,4,2,1,4,3,2,3,3,4,4,4,3
1596,7,FR,4,4,9,5,5,2,3,3,3,2,2,1,2,2,2,2,1,1,4,1
1597,7,FR,1,1,9,2,2,2,1,2,4,2,2,3,1,2,1,2,2,2,4,1
1598,7,FR,1,2,9,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3
1601,7,FR,2,1,9,1,1,2,2,2,4,1,1,3,3,3,3,3,2,3,4,1
1602,7,FR,4,4,9,2,3,3,3,2,4,3,2,2,4,3,2,3,1,2,4,2
1603,7,FR,4,4,9,3,3,2,3,2,1,4,2,2,2,2,2,2,6,2,4,1
1606,7,FR,3,4,9,1,2,2,2,2,3,3,2,3,3,4,4,4,3,1,4,1
1607,7,FR,1,2,3,4,4,5,4,4,2,2,2,2,2,2,2,2,2,3,4,1
1608,7,FR,3,2,9,4,3,3,4,3,2,2,3,2,2,3,3,3,3,2,4,1
1609,7,FR,4,4,9,2,1,2,2,3,4,4,1,2,3,3,3,3,3,1,4,2
1610,7,FR,4,3,9,2,2,1,2,2,1,1,2,2,2,2,4,4,3,2,2,3
1611,7,FR,4,4,9,3,3,3,2,2,4,2,1,3,3,4,4,4,3,1,4,3
1612,7,FR,4,4,9,3,2,3,4,4,4,4,4,4,4,4,2,1,1,1,4,1
1613,7,FR,3,3,2,4,2,3,2,2,4,4,1,4,1,2,2,2,1,1,4,3
1616,7,FR,4,4,9,4,4,4,4,4,2,1,1,1,1,4,4,4,1,1,4,2
1619,7,FR,1,1,9,3,2,3,3,2,2,3,1,2,2,2,2,3,5,1,4,1
1621,7,FR,1,2,9,2,3,2,2,2,3,2,2,2,2,3,2,3,3,2,4,3
1622,7,FR,1,1,9,3,2,2,2,2,4,3,2,2,3,3,4,4,3,1,4,3
1626,7,FR,4,4,9,1,2,2,2,2,4,2,2,3,3,3,2,3,1,1,4,3
1628,7,FR,1,4,2,4,2,4,4,4,1,4,4,4,4,4,4,4,1,1,2,2
1629,7,FR,4,4,9,3,2,3,3,3,2,3,3,2,2,2,3,3,2,3,4,3
1630,7,FR,2,2,9,2,1,2,2,2,4,1,1,4,1,2,4,2,3,2,4,2
1632,7,FR,1,1,2,3,4,4,4,4,1,2,1,1,1,2,2,2,4,1,2,1
1633,7,FR,1,1,2,3,2,2,4,3,2,4,3,3,3,2,2,3,3,1,4,3
1634,7,FR,1,2,9,2,2,3,1,2,4,3,2,2,4,3,3,3,1,2,4,1
1635,7,FR,1,3,9,2,2,3,3,2,2,2,2,4,3,3,3,3,1,2,4,3
1637,7,FR,4,3,9,3,3,2,3,3,2,4,3,2,2,2,3,2,5,3,4,1
1639,7,FR,1,1,2,3,3,2,4,4,3,2,2,3,3,3,2,2,1,3,4,3
1640,7,FR,1,2,2,3,3,2,3,3,3,3,2,2,2,3,2,2,5,3,4,1
1641,7,FR,3,3,9,2,3,2,3,2,3,2,3,2,3,2,3,3,1,2,4,1
1642,7,FR,2,2,9,2,2,3,2,2,3,3,1,2,3,3,4,4,5,1,2,1
1645,7,FR,2,1,9,3,4,4,4,1,1,2,1,1,1,2,1,1,4,1,2,1
1646,7,FR,3,3,9,3,3,2,4,3,3,3,2,2,2,3,3,2,1,1,4,3
1647,7,FR,1,2,9,2,1,2,2,1,3,2,2,2,2,4,2,3,1,1,2,1
1648,7,FR,1,1,2,3,2,2,4,4,2,4,1,2,4,3,3,3,6,2,4,3
1649,7,FR,4,3,9,2,2,2,2,2,2,1,1,4,4,3,3,3,6,1,4,3
1650,7,FR,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,3,4,2
1651,7,FR,4,4,9,1,2,1,2,2,1,2,2,3,3,2,2,2,5,2,4,2
1652,7,FR,2,2,9,3,3,3,3,3,3,3,2,2,3,3,2,3,6,1,4,1
1654,7,FR,4,2,1,1,2,2,1,3,3,2,1,1,3,3,2,3,4,1,4,1
1655,7,FR,3,3,9,2,3,2,3,2,3,2,3,3,3,2,3,3,1,3,4,2
1656,7,FR,1,1,9,1,2,2,2,2,3,3,1,3,3,3,3,3,5,2,4,3
1657,7,FR,4,4,9,2,2,3,3,3,3,3,3,2,3,2,2,2,5,2,4,2
1660,7,FR,1,2,9,3,2,3,3,2,4,2,1,3,3,2,3,3,4,1,4,3
1661,7,FR,4,4,9,4,4,4,4,4,4,4,2,1,1,1,1,1,6,1,4,1
1662,7,FR,4,4,9,2,2,2,2,1,4,3,1,3,4,4,4,4,2,1,4,1
1663,7,FR,4,4,9,3,4,2,3,3,2,3,3,1,3,3,3,3,1,1,4,3
1664,7,FR,4,4,9,2,2,2,2,2,4,3,4,4,4,3,4,2,4,2,4,2
1666,7,FR,3,2,2,3,4,5,5,4,1,4,3,1,1,2,1,1,1,1,2,3
1667,7,FR,1,1,9,3,3,3,3,2,3,3,3,2,2,2,2,3,1,3,4,3
1670,7,FR,1,3,2,2,3,2,3,3,4,3,2,4,3,3,2,3,5,1,4,1
1671,7,FR,4,4,9,3,2,3,2,3,4,1,2,2,2,2,2,3,1,2,4,1
1672,7,FR,4,4,9,3,3,2,3,3,4,2,1,3,3,2,3,4,1,2,4,1
1674,7,FR,4,4,9,1,3,4,1,1,2,4,1,1,1,3,3,4,1,2,4,1
1676,7,FR,4,4,9,3,2,2,2,2,3,2,2,3,4,3,3,3,6,1,4,2
1677,7,FR,1,1,9,1,1,1,1,2,4,1,1,1,4,4,2,3,3,1,4,2
1679,7,FR,2,3,9,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,4,1
1680,7,FR,4,4,9,4,5,5,4,4,1,4,4,2,3,2,1,3,3,2,4,3
1681,7,FR,2,2,1,2,2,3,4,2,2,2,1,2,4,3,3,3,2,2,4,1
1683,7,FR,3,2,2,2,2,2,2,2,3,2,1,3,3,3,3,3,1,2,4,1
1684,7,FR,2,2,9,4,3,3,3,3,1,3,3,2,2,2,2,1,2,3,2,1
1685,7,FR,4,3,1,2,1,3,2,1,4,1,1,2,3,3,3,2,4,2,4,3
1686,7,FR,2,2,9,1,3,2,2,1,2,2,2,3,3,2,2,4,4,1,2,3
1687,7,FR,4,2,9,2,2,2,2,1,4,2,2,2,4,3,3,3,5,1,4,3
1689,7,FR,4,4,9,3,2,2,2,1,3,2,2,4,2,3,4,2,2,3,2,1
1691,7,FR,3,3,9,1,2,2,1,1,4,4,1,2,1,3,3,3,1,1,4,1
1692,7,FR,4,4,9,4,3,4,3,4,4,3,4,2,2,2,2,1,4,1,4,1
1694,7,FR,1,2,9,3,3,3,3,3,3,3,2,2,2,3,3,3,6,1,4,1
1696,7,FR,4,2,1,2,2,2,3,3,2,4,2,2,3,3,3,3,4,3,4,3
1697,7,FR,3,3,9,2,2,3,2,2,3,3,2,3,2,3,2,4,1,2,4,1
1701,7,FR,1,1,9,2,2,1,2,3,1,4,1,1,4,1,1,4,1,1,4,3
1702,7,FR,4,3,2,3,2,3,3,3,4,4,3,3,3,4,3,3,2,2,2,3
1703,7,FR,3,3,2,3,1,3,3,3,3,3,2,1,3,2,3,3,5,2,4,3
1704,7,FR,2,2,9,2,2,2,2,2,4,3,1,2,4,2,2,2,1,3,4,1
1706,7,FR,1,1,9,1,2,4,1,1,3,3,2,4,3,4,4,4,1,3,4,3
1707,7,FR,4,4,9,4,1,2,3,3,4,4,4,2,1,3,3,3,3,2,4,2
1708,7,FR,4,2,2,3,3,3,3,2,2,3,2,2,2,2,2,4,4,1,4,1
1709,7,FR,1,1,9,3,3,2,4,2,2,3,3,1,2,2,2,1,3,4,4,1
1714,7,FR,4,4,2,3,5,4,3,4,3,3,3,2,1,2,2,3,1,1,3,1
1715,7,FR,4,3,9,2,3,2,2,2,3,2,2,3,3,3,3,3,2,1,4,1
1717,7,FR,4,4,1,3,3,2,3,3,3,4,2,2,2,4,3,3,3,1,4,1
1718,7,FR,3,4,2,2,2,2,2,1,2,3,2,3,3,4,4,3,4,2,4,3
1719,7,FR,1,1,2,1,2,2,2,2,4,2,3,3,3,2,3,3,3,3,4,2
1720,7,FR,4,2,9,3,3,3,3,3,3,3,2,2,3,3,2,2,1,2,4,1
1721,7,FR,2,3,1,2,2,3,2,3,3,4,2,2,2,1,1,1,4,3,4,3
1722,7,FR,1,1,9,2,2,2,2,2,3,2,2,2,2,3,2,2,3,1,4,3
1723,7,FR,4,4,1,3,4,4,4,4,4,2,4,2,4,2,3,3,5,4,4,3
1725,7,FR,1,1,9,3,2,2,2,2,4,2,3,2,2,2,2,2,3,1,4,1
1726,7,FR,3,3,9,2,3,3,2,2,4,3,1,3,3,3,3,4,3,2,4,1
1729,7,FR,4,4,1,2,2,3,2,2,3,3,2,3,2,3,2,2,3,2,4,2
1730,7,FR,4,1,2,2,1,2,2,2,3,4,2,2,1,2,4,4,3,2,4,1
1732,7,FR,3,4,9,3,2,3,2,2,3,3,2,3,3,2,3,3,3,4,4,2
1734,7,FR,2,2,2,2,3,3,1,1,3,3,1,1,2,3,3,4,4,2,4,1
1737,7,FR,1,1,9,2,2,3,1,2,3,2,2,3,3,3,3,3,1,2,4,1
1738,7,FR,1,1,9,2,1,2,2,2,4,1,1,4,2,4,2,1,1,3,4,3
1739,7,FR,2,2,9,3,2,4,4,2,2,3,1,3,1,3,2,3,4,2,4,1
1740,7,FR,3,4,9,3,4,4,3,3,4,1,2,2,2,3,3,3,5,1,4,1
1741,7,FR,4,3,9,3,3,2,3,2,2,3,1,3,3,3,3,3,1,3,4,1
1743,7,FR,2,3,9,2,2,2,2,2,2,2,2,3,4,4,3,3,6,2,4,1
1746,7,FR,1,1,9,2,5,1,1,1,4,2,2,3,4,4,3,2,3,3,4,1
1751,7,FR,2,1,9,2,2,2,2,2,3,3,2,2,3,3,3,2,6,1,4,3
1752,7,FR,2,1,2,3,1,3,3,3,3,4,1,2,2,2,1,2,4,3,4,1
1753,7,FR,1,1,9,2,3,3,3,2,4,2,1,3,3,3,3,3,3,3,4,3
1755,7,FR,4,4,9,3,3,1,1,2,4,2,2,3,1,2,2,3,6,1,3,1
1756,7,FR,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,3,4,1
1757,7,FR,4,4,9,3,3,2,3,2,3,3,3,3,3,3,3,3,1,2,3,3
1758,7,FR,4,4,2,3,3,3,4,3,3,3,2,2,2,2,2,2,3,3,4,1
1760,7,FR,2,1,1,2,3,1,3,3,3,2,1,2,4,3,2,3,5,1,4,2
1761,7,FR,4,4,9,3,3,3,3,3,3,3,4,4,3,2,1,1,1,1,4,3
1762,7,FR,2,3,9,2,2,3,2,2,4,2,2,2,2,2,3,3,6,1,3,1
1764,7,FR,4,4,9,2,3,3,3,3,3,1,2,2,2,3,3,3,2,1,4,3
1765,7,FR,1,1,9,2,2,2,2,2,2,2,2,3,3,2,2,2,1,2,4,3
1767,7,FR,4,4,2,2,2,3,3,2,2,4,2,3,2,2,3,3,2,2,4,3
1769,7,FR,4,4,2,3,2,3,3,3,3,3,2,3,2,3,2,3,6,2,4,3
1771,7,FR,3,3,2,4,2,2,4,4,3,3,2,2,2,3,2,3,5,3,4,1
1772,7,FR,3,4,9,3,3,3,3,3,3,2,3,3,3,2,2,2,6,1,4,3
1774,7,FR,4,4,9,2,2,2,2,2,4,2,1,2,2,4,3,4,2,1,4,1
1777,7,FR,1,1,2,2,2,2,2,3,3,3,3,3,3,2,2,4,3,1,4,1
1778,7,FR,4,4,9,3,3,2,3,3,3,3,3,2,2,2,2,2,2,1,3,3
1779,7,FR,1,2,9,2,2,2,1,2,3,2,2,2,2,3,3,2,2,1,4,3
1780,7,FR,4,4,9,3,1,1,1,3,4,3,3,4,4,3,4,4,6,1,3,1
1781,7,FR,1,1,9,3,3,2,2,1,1,2,2,3,3,4,4,4,6,1,4,1
1783,7,FR,1,1,9,5,3,2,2,2,4,2,2,2,3,4,4,4,2,2,4,3
1784,7,FR,1,3,2,2,2,3,3,4,4,4,2,2,2,2,2,1,2,2,4,1
1787,7,FR,2,3,9,2,4,2,2,3,3,3,2,3,3,2,2,2,4,2,4,3
1788,7,FR,1,1,9,3,3,3,2,2,2,3,2,2,3,3,3,4,2,4,4,1
1790,7,FR,1,4,9,2,2,3,2,2,1,3,1,1,1,2,2,2,4,1,3,3
1791,7,FR,3,3,1,3,2,2,4,4,1,4,1,1,3,3,4,4,5,1,4,1
1792,7,FR,3,4,9,3,2,3,2,2,3,3,1,2,3,3,2,1,6,1,4,1
1793,7,FR,2,2,4,1,1,1,1,1,2,1,1,2,2,3,3,3,4,2,4,2
1796,7,FR,1,1,2,3,3,3,3,3,2,3,1,1,2,2,2,2,5,1,4,1
1797,7,FR,1,2,2,2,2,4,3,3,4,3,3,1,2,2,2,2,4,3,2,1
1798,7,FR,1,2,2,4,4,3,4,4,4,4,4,1,3,2,2,2,4,3,4,2
1800,7,FR,4,1,9,2,2,3,3,3,4,2,1,2,2,3,3,3,3,1,3,3
1801,7,FR,4,3,9,3,2,3,3,2,3,3,2,3,4,3,3,3,1,3,4,3
1803,7,FR,2,2,4,2,2,2,1,2,4,3,2,3,4,3,3,3,3,2,4,1
1806,8,IE,4,4,9,2,2,2,2,2,3,2,2,2,4,4,3,3,3,1,4,1
1807,8,IE,4,4,9,2,2,2,2,2,4,4,1,4,4,3,2,3,4,1,4,1
1808,8,IE,3,2,9,3,2,2,3,2,3,4,3,4,4,3,3,3,5,1,4,2
1810,8,IE,4,3,2,3,3,3,3,4,2,4,3,3,4,3,3,4,2,1,4,2
1812,8,IE,4,4,9,3,3,3,3,3,3,4,3,2,3,3,3,2,6,1,4,3
1815,8,IE,4,4,2,3,3,3,3,3,2,4,3,3,3,2,2,3,1,4,4,2
1816,8,IE,3,3,9,1,1,1,1,1,4,3,1,2,3,3,3,3,4,1,4,1
1817,8,IE,3,3,9,1,2,2,2,2,3,2,2,4,4,4,4,4,6,3,2,1
1819,8,IE,4,4,9,4,3,4,3,3,4,2,2,3,2,2,2,2,5,1,2,1
1821,8,IE,4,4,9,2,3,2,3,3,4,3,3,3,3,3,2,3,1,1,4,3
1822,8,IE,4,3,2,4,3,2,4,3,2,3,3,3,3,2,3,3,5,2,4,3
1823,8,IE,4,4,9,3,3,2,3,3,2,4,3,2,1,2,2,2,6,3,4,1
1824,8,IE,4,4,4,2,2,3,3,2,2,1,2,2,2,2,2,1,4,3,4,1
1827,8,IE,4,4,9,4,4,4,3,3,1,3,3,2,4,1,4,4,5,1,4,3
1828,8,IE,4,4,9,4,3,4,4,4,1,4,4,1,1,2,1,2,1,2,4,3
1830,8,IE,4,4,9,3,3,3,3,3,2,4,3,2,2,2,2,2,5,1,4,3
1832,8,IE,3,3,9,3,3,2,3,3,1,4,1,1,4,2,2,2,3,2,4,2
1833,8,IE,3,4,9,3,3,2,3,2,4,4,2,3,4,3,3,3,3,1,4,1
1837,8,IE,4,4,2,4,3,2,4,4,3,3,3,2,2,2,3,2,1,2,4,1
1840,8,IE,4,4,2,4,4,4,3,4,2,4,3,3,2,1,1,1,1,4,4,1
1841,8,IE,4,4,9,3,4,3,4,3,3,4,2,4,2,2,2,3,2,2,2,1
1842,8,IE,4,4,9,3,4,3,4,4,3,4,2,4,4,3,3,3,1,2,4,2
1844,8,IE,4,4,9,4,4,4,4,4,3,4,4,2,3,3,2,1,2,1,4,3
1845,8,IE,3,3,2,4,3,1,3,3,1,3,3,1,4,3,3,3,5,1,4,3
1846,8,IE,4,4,4,4,3,4,3,4,3,4,3,3,3,2,3,3,1,2,4,1
1847,8,IE,4,4,9,3,3,2,3,3,3,4,3,3,3,3,3,1,3,1,4,1
1848,8,IE,4,4,9,3,3,3,2,3,2,4,2,2,2,1,2,3,6,1,3,3
1849,8,IE,4,4,9,3,4,4,4,4,2,3,2,4,4,3,2,3,6,2,4,1
1853,8,IE,4,3,9,3,4,4,3,3,4,3,1,4,4,3,3,3,3,1,4,3
1856,8,IE,4,4,9,3,3,4,4,4,3,3,2,3,3,3,3,3,1,1,2,1
1857,8,IE,4,3,9,3,3,2,3,3,2,4,3,2,2,2,2,3,5,1,3,1
1858,8,IE,4,4,9,3,3,3,3,3,1,4,4,3,3,3,3,3,5,1,4,1
1860,8,IE,4,4,2,2,1,2,3,2,3,2,1,4,4,4,4,3,4,1,4,1
1861,8,IE,3,4,9,1,3,4,1,1,2,4,1,4,4,3,3,3,3,1,2,1
1862,8,IE,1,1,9,4,2,2,3,3,2,4,2,2,2,1,2,2,6,1,4,2
1864,8,IE,4,4,2,3,3,3,3,3,3,4,3,2,2,2,2,2,1,4,4,1
1865,8,IE,4,4,9,2,4,4,3,3,2,2,2,4,2,3,3,3,3,1,4,3
1866,8,IE,4,2,9,2,3,3,2,3,2,4,3,3,3,2,2,2,5,1,4,2
1867,8,IE,3,3,9,3,4,4,2,3,4,3,3,3,3,2,2,3,6,3,4,1
1869,8,IE,3,3,2,3,3,3,2,2,3,3,2,3,4,3,4,4,4,1,4,3
1873,8,IE,4,4,9,3,3,3,4,3,3,2,1,2,2,2,2,2,2,1,2,3
1874,8,IE,4,4,9,3,3,4,3,3,3,4,2,3,4,2,3,3,4,1,4,1
1875,8,IE,4,4,9,1,1,2,1,1,3,2,2,3,3,4,4,4,6,2,4,1
1877,8,IE,4,4,9,4,4,4,4,4,2,4,3,1,4,4,4,4,6,2,4,1
1878,8,IE,4,4,9,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,1
1880,8,IE,4,4,2,3,3,2,2,3,4,2,2,4,4,3,3,3,1,1,4,1
1881,8,IE,2,2,9,2,3,2,2,3,2,3,2,3,4,3,3,3,5,4,4,2
1882,8,IE,4,4,9,1,1,2,1,2,4,3,1,4,3,3,3,3,2,1,4,2
1883,8,IE,4,3,2,3,3,3,3,3,4,3,3,4,4,2,3,3,1,2,4,3
1884,8,IE,4,3,9,4,3,2,3,3,4,2,4,1,4,3,3,4,3,1,4,1
1887,8,IE,4,4,9,3,2,2,3,3,3,3,2,3,3,3,3,3,5,2,4,3
1888,8,IE,4,4,9,3,3,3,3,2,3,3,2,3,3,3,3,4,1,3,4,3
1889,8,IE,4,4,2,4,4,3,4,3,1,4,4,1,1,1,1,1,6,2,4,1
1890,8,IE,4,3,9,2,4,4,4,4,2,3,2,2,3,2,2,2,3,1,2,1
1892,8,IE,4,4,9,2,2,2,2,1,4,2,4,4,4,4,4,4,5,1,2,1
1893,8,IE,4,1,1,3,3,2,4,4,1,4,1,4,4,3,3,4,3,1,4,3
1894,8,IE,4,3,9,2,2,3,2,3,3,1,1,2,1,4,3,4,2,2,3,1
1896,8,IE,2,1,9,3,3,4,2,3,4,1,1,1,4,3,4,4,2,1,3,1
1902,8,IE,4,1,9,2,2,2,2,2,4,2,1,3,4,3,3,3,3,1,3,3
1903,8,IE,4,4,9,4,4,2,3,3,1,4,4,3,4,3,2,3,1,2,4,3
1904,8,IE,4,4,9,4,3,3,4,3,2,3,3,1,2,2,2,2,1,1,3,3
1906,8,IE,4,4,2,3,3,1,4,4,1,4,2,2,2,2,2,3,5,1,4,1
1907,8,IE,4,4,9,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,4,1
1909,8,IE,4,4,2,3,3,3,3,3,3,4,2,4,4,2,3,3,5,4,4,1
1910,8,IE,3,3,9,3,3,3,3,3,2,4,3,4,3,3,3,3,6,1,4,1
1911,8,IE,4,4,2,4,3,3,3,3,2,4,3,1,2,2,2,2,5,1,4,1
1912,8,IE,4,4,2,3,3,4,3,3,2,4,4,2,2,2,2,2,6,1,4,1
1913,8,IE,4,4,2,4,3,3,3,3,3,3,3,3,3,2,2,2,2,1,4,1
1914,8,IE,4,4,9,2,3,2,2,2,3,3,2,3,4,3,3,3,6,2,4,1
1915,8,IE,3,3,9,2,2,2,2,2,3,3,2,4,4,3,3,4,2,2,4,1
1916,8,IE,4,3,2,3,2,2,3,3,2,4,2,3,3,3,3,4,1,1,4,3
1919,8,IE,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,2,1,2,4,1
1920,8,IE,3,4,2,2,2,1,2,2,3,2,2,2,3,2,2,2,1,1,4,3
1921,8,IE,4,3,4,2,3,2,2,2,4,2,1,3,4,3,4,4,1,2,4,1
1923,8,IE,3,4,9,4,2,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2
1925,8,IE,4,4,9,3,3,3,2,2,3,3,1,3,3,3,3,3,2,1,4,3
1926,8,IE,4,2,9,3,3,3,3,3,3,4,2,3,3,3,3,4,6,1,4,1
1927,8,IE,4,4,9,3,4,2,2,2,4,4,1,4,4,3,3,2,4,1,3,1
1929,8,IE,4,3,9,3,2,2,3,3,2,3,2,2,2,3,4,3,2,1,4,1
1930,8,IE,4,4,2,3,3,3,3,2,2,4,2,3,3,2,2,2,4,1,3,2
1935,8,IE,4,4,9,3,3,3,3,3,3,3,3,3,3,3,4,4,5,1,4,3
1937,8,IE,1,2,9,2,2,2,3,2,2,2,2,1,2,2,3,3,4,1,4,1
1938,8,IE,4,3,2,3,4,4,4,3,2,3,3,3,3,3,3,3,6,4,4,1
1939,8,IE,4,4,9,2,3,3,3,3,3,4,2,2,3,1,1,1,2,1,3,2
1940,8,IE,1,4,9,4,4,4,4,4,1,4,3,1,1,2,2,2,2,1,4,2
1942,8,IE,4,2,2,3,3,3,3,3,2,2,2,1,3,2,2,2,5,1,4,1
1943,8,IE,3,3,2,3,3,3,3,3,2,3,1,2,1,2,2,2,6,2,3,1
1944,8,IE,4,4,9,4,3,3,3,3,4,2,2,3,4,3,3,3,4,2,4,1
1945,8,IE,2,1,1,2,2,3,2,2,4,2,1,4,4,4,4,4,4,3,4,1
1946,8,IE,4,4,2,3,4,4,3,3,2,4,4,2,2,3,2,2,3,4,4,1
1947,8,IE,2,3,9,2,2,2,2,2,3,3,2,3,3,3,3,4,6,1,4,1
1948,8,IE,2,2,9,1,2,2,2,2,4,1,4,3,3,3,2,2,2,1,4,3
1949,8,IE,3,3,2,2,1,1,2,2,4,2,1,4,4,2,3,3,4,1,3,1
1950,8,IE,4,3,1,2,2,2,2,2,3,2,2,3,3,3,4,4,4,2,4,3
1951,8,IE,4,4,9,3,4,3,4,4,3,4,1,3,3,3,2,3,2,4,4,1
1952,8,IE,4,4,2,4,4,4,4,4,2,4,3,3,3,4,4,4,2,1,3,1
1953,8,IE,4,4,1,4,4,4,4,4,3,4,4,4,2,4,3,1,1,1,4,1
1954,8,IE,4,3,2,3,3,3,4,4,3,4,4,3,3,2,2,4,4,3,4,3
1955,8,IE,2,4,9,3,4,4,3,3,3,4,3,2,4,3,3,4,3,1,3,1
1959,8,IE,4,3,9,3,2,2,3,2,3,3,2,3,3,2,3,3,1,2,3,1
1961,8,IE,3,3,1,3,4,3,3,3,1,2,3,2,4,1,1,1,2,4,4,1
1962,8,IE,4,4,9,2,2,2,2,2,3,2,1,4,4,3,3,4,3,1,3,1
1963,8,IE,4,4,2,3,3,3,5,4,2,4,4,2,2,1,1,1,1,2,4,1
1964,8,IE,4,4,4,3,4,2,2,3,3,2,2,3,2,2,2,3,3,1,4,1
1965,8,IE,4,4,9,1,2,2,3,3,2,4,2,4,4,3,3,4,2,3,4,3
1966,8,IE,4,4,9,4,3,2,4,2,4,4,4,2,3,2,3,3,6,2,4,1
1967,8,IE,3,3,9,3,2,3,3,3,3,3,2,3,2,3,4,3,1,4,4,3
1971,8,IE,4,4,2,3,3,3,3,2,4,4,3,2,2,3,3,3,4,2,4,3
1972,8,IE,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,5,2,2,1
1973,8,IE,4,4,9,4,3,4,3,2,3,3,2,4,3,3,3,3,5,2,4,1
1975,8,IE,4,3,9,3,3,3,3,3,4,2,2,2,2,2,1,2,4,1,4,3
1976,8,IE,3,4,2,3,3,2,3,3,3,4,3,4,4,3,3,3,4,2,3,1
1978,8,IE,4,3,2,2,4,3,3,3,2,4,3,2,4,2,2,2,4,3,4,1
1979,8,IE,3,3,2,3,3,2,3,3,2,4,3,1,4,3,3,4,4,1,4,1
1981,8,IE,2,4,9,2,3,4,1,1,4,4,1,2,4,3,3,3,4,1,4,1
1982,8,IE,4,4,9,3,4,4,4,4,4,4,2,2,2,2,2,2,4,1,3,1
1983,8,IE,4,2,9,4,1,2,3,3,1,1,2,3,4,3,3,3,3,1,4,1
1984,8,IE,4,4,9,3,3,5,3,4,3,4,2,3,3,3,3,3,2,1,2,1
1985,9,IT,3,4,9,1,4,1,1,2,2,2,3,3,3,2,3,4,6,1,4,1
1986,9,IT,1,1,9,1,2,1,1,1,4,2,1,3,4,2,2,2,2,1,4,2
1991,9,IT,1,1,9,1,2,2,2,2,1,3,1,2,4,2,1,2,2,1,4,2
1993,9,IT,1,1,9,1,1,1,1,2,4,4,1,1,4,2,3,4,3,1,2,3
1994,9,IT,1,2,9,1,2,2,2,2,4,1,1,2,2,2,3,3,3,2,4,1
1996,9,IT,4,4,9,1,1,1,1,1,4,2,1,4,4,3,3,3,6,1,3,1
1998,9,IT,4,4,9,2,3,3,2,3,2,3,3,2,2,2,2,2,3,3,4,3
2000,9,IT,1,1,9,1,4,1,1,1,2,1,2,2,1,3,2,4,1,1,4,2
2003,9,IT,1,1,9,2,2,2,2,2,3,2,1,3,3,2,3,3,2,1,4,3
2004,9,IT,1,2,9,1,2,2,1,1,3,1,1,3,3,2,2,2,4,1,3,2
2006,9,IT,4,4,2,1,2,2,1,1,3,3,2,3,2,2,1,1,5,1,2,1
2007,9,IT,4,4,9,2,2,2,2,2,2,4,1,4,4,3,3,3,3,3,4,2
2014,9,IT,2,2,1,1,2,3,3,2,3,3,2,3,2,3,3,2,4,2,4,2
2015,9,IT,4,2,9,2,2,2,3,2,3,3,1,2,3,3,1,3,2,1,4,2
2017,9,IT,4,3,9,1,1,2,1,1,4,1,1,4,4,2,3,4,3,1,3,3
