serialid,tnscntry,isocntry,corruption,patronage,public_tender,widespread,abuse,bidding,procurement_national,procurement_local,transparency,connections,favouritism,petty_corruption,bribing,reported,court,fined,sector,employees,age,turnover
937,5,ES,4,4,9,3,2,2,3,3,2,4,3,1,1,1,1,1,3,2,4,3
938,5,ES,2,4,9,2,2,1,2,2,3,2,2,3,3,2,2,2,4,1,4,3
939,5,ES,2,2,9,1,2,2,1,1,4,1,1,1,4,2,4,4,6,3,4,2
943,5,ES,4,4,9,1,1,1,1,1,4,3,1,4,4,1,2,2,1,3,3,2
944,5,ES,2,1,9,1,2,3,1,1,4,4,1,3,4,2,3,3,2,2,4,1
945,5,ES,4,4,9,2,2,2,2,2,4,1,1,4,4,4,2,2,3,1,4,1
948,5,ES,4,4,9,1,3,3,3,4,4,1,3,4,2,2,2,2,1,1,3,1
949,5,ES,4,4,9,3,2,2,2,2,3,2,2,2,3,2,2,3,5,1,4,2
950,5,ES,2,2,2,1,1,2,1,1,4,2,1,4,4,3,3,4,5,1,3,2
952,5,ES,4,2,9,1,1,1,1,1,4,1,1,4,4,3,3,3,1,3,4,1
953,5,ES,1,1,9,1,4,4,1,2,4,3,1,4,3,2,3,3,3,2,4,1
954,5,ES,1,2,2,1,4,1,2,2,4,1,1,3,4,4,4,4,2,2,4,3
955,5,ES,1,1,1,1,1,1,1,1,4,3,1,4,4,3,4,3,4,1,3,1
956,5,ES,4,4,2,2,4,2,4,3,4,2,1,4,3,3,3,3,2,2,4,1
959,5,ES,3,3,2,2,3,3,4,2,3,4,2,4,3,2,2,3,4,4,4,1
960,5,ES,4,4,9,1,2,3,1,1,4,3,2,4,3,2,3,3,2,1,4,1
961,5,ES,4,4,9,1,2,2,1,2,3,1,1,4,4,2,3,3,2,1,3,2
962,5,ES,4,4,9,4,3,4,3,3,3,3,4,2,2,2,3,3,4,1,4,3
963,5,ES,1,1,9,2,2,4,2,2,4,3,3,3,3,3,2,2,5,2,4,1
964,5,ES,1,3,9,1,2,1,2,2,1,1,1,4,4,3,3,3,3,2,3,1
965,5,ES,4,4,9,1,2,2,1,1,4,2,1,4,3,3,1,1,4,1,4,1
966,5,ES,1,1,9,1,4,4,1,1,4,1,1,4,4,2,2,2,4,1,4,3
967,5,ES,3,2,2,3,3,4,3,3,3,3,2,4,3,2,2,2,4,1,4,3
968,5,ES,3,3,9,3,3,2,1,1,2,3,3,4,2,3,2,2,6,2,4,1
969,5,ES,4,4,9,2,2,3,2,3,3,2,1,2,4,3,3,3,3,1,4,3
971,5,ES,4,3,9,2,3,3,2,2,4,3,2,3,1,2,1,1,6,1,4,3
972,5,ES,1,1,9,1,1,1,1,1,4,1,1,3,3,4,3,3,1,3,4,1
974,5,ES,4,2,2,1,2,1,2,1,4,3,2,4,4,3,3,4,5,1,3,1
975,5,ES,4,4,9,3,3,3,3,3,3,4,3,2,1,2,1,1,5,1,2,3
976,5,ES,1,1,9,2,3,3,2,2,4,2,2,1,2,2,2,2,3,1,3,1
977,5,ES,1,1,2,2,2,2,3,2,4,1,1,4,4,3,3,3,4,1,4,1
978,5,ES,2,1,9,1,2,1,1,1,3,3,3,4,4,1,2,2,1,2,4,1
979,5,ES,4,4,9,2,4,4,1,1,3,3,2,3,3,2,2,3,3,1,4,1
982,5,ES,1,2,9,1,1,2,1,2,3,3,1,3,2,3,3,3,5,2,4,3
983,5,ES,3,4,9,1,1,2,2,1,4,2,1,3,2,3,3,3,5,2,3,3
985,5,ES,4,4,9,2,1,2,2,2,3,2,2,3,3,3,3,3,1,3,4,3
986,5,ES,4,4,2,2,2,3,2,2,4,2,3,4,4,3,3,2,2,1,3,2
988,5,ES,4,4,9,2,1,2,3,2,3,2,2,3,2,2,1,1,5,4,4,2
989,5,ES,4,4,1,2,2,2,2,2,3,3,1,3,4,2,3,3,2,2,4,3
990,5,ES,3,4,9,2,2,2,3,3,2,4,3,2,2,2,2,3,3,1,2,1
991,5,ES,1,2,9,2,2,2,2,2,3,3,2,3,4,2,2,2,6,1,4,1
992,5,ES,3,2,9,1,3,2,1,1,3,1,1,2,3,3,3,3,3,1,4,3
994,5,ES,4,4,9,1,2,1,2,2,4,2,4,2,3,3,2,3,1,2,2,1
995,5,ES,4,4,9,1,4,2,4,4,3,4,2,1,1,2,1,1,3,3,4,1
996,5,ES,4,4,9,1,2,2,2,3,4,1,1,3,4,2,2,2,2,1,4,1
997,5,ES,4,3,2,1,1,1,1,1,4,2,2,4,4,2,3,3,1,1,2,1
998,5,ES,2,1,2,3,3,3,4,4,4,4,1,1,1,2,1,1,4,3,4,2
1002,5,ES,4,4,2,2,2,3,1,1,3,2,1,4,3,2,2,3,5,2,2,1
1003,5,ES,2,1,2,1,2,4,3,3,3,3,2,3,4,3,2,1,5,3,4,1
1005,5,ES,1,1,9,1,1,1,1,1,4,2,2,4,2,4,3,3,4,1,4,3
1006,5,ES,2,3,2,2,3,3,3,3,4,3,2,2,3,3,3,3,5,2,4,1
1007,5,ES,1,1,9,1,2,1,1,2,4,2,1,4,4,4,3,3,5,1,4,3
1008,5,ES,2,3,9,1,1,2,2,2,4,2,3,1,1,3,3,4,6,1,2,3
1009,5,ES,4,4,1,1,2,3,1,1,4,2,1,3,4,2,2,2,5,3,4,3
1010,5,ES,4,4,9,4,3,2,2,2,4,2,2,3,3,3,3,3,6,2,4,2
1011,5,ES,4,4,4,1,4,3,2,3,4,2,1,3,3,3,3,3,5,3,3,1
1013,5,ES,2,2,9,1,1,2,1,1,4,2,1,4,4,4,4,2,5,1,3,1
1015,5,ES,4,4,9,2,2,2,3,2,4,1,1,4,4,3,4,4,6,1,4,1
1016,5,ES,1,2,9,1,2,2,2,2,4,4,1,3,4,2,1,2,1,3,4,1
1017,5,ES,4,4,2,3,2,2,3,3,2,3,3,2,1,2,2,2,5,1,4,1
1018,5,ES,4,4,9,2,2,3,3,2,3,4,2,3,2,3,2,2,3,3,4,1
1019,5,ES,4,3,1,1,1,2,1,1,4,2,1,4,4,2,2,3,3,3,4,3
1020,5,ES,4,4,9,1,4,3,2,2,3,2,1,4,4,3,3,3,5,3,3,1
1021,5,ES,1,1,2,1,3,3,1,1,4,1,1,4,4,2,4,4,5,3,4,3
1022,5,ES,1,1,1,1,2,2,1,2,4,2,1,4,4,3,4,3,5,1,3,2
1023,5,ES,3,3,2,2,2,2,2,2,3,3,2,2,2,1,2,2,5,3,4,1
1026,5,ES,2,3,9,1,2,2,1,2,3,3,2,3,3,2,3,2,1,1,4,3
1028,5,ES,4,4,9,3,2,1,2,2,1,2,2,1,2,3,3,2,6,3,4,1
1030,5,ES,4,4,9,3,2,2,2,2,4,4,3,4,4,3,3,3,2,2,3,3
1031,5,ES,2,2,9,2,2,2,2,1,1,1,1,3,2,2,2,2,3,1,4,1
1032,5,ES,4,4,1,1,2,3,1,1,4,3,1,3,3,3,3,3,5,2,4,1
1038,5,ES,3,4,4,2,3,2,3,2,3,2,2,3,3,3,3,3,6,2,4,1
1039,5,ES,2,2,1,1,1,1,1,2,4,1,1,4,4,3,3,3,4,3,4,3
1042,5,ES,1,1,9,2,1,1,2,1,3,4,1,4,4,1,1,1,6,2,2,3
1043,5,ES,3,1,2,2,2,2,3,2,2,2,1,3,3,2,2,2,2,2,4,1
1047,5,ES,3,4,9,2,1,3,1,1,4,1,1,4,4,4,4,4,3,1,4,2
1051,5,ES,4,3,9,2,2,2,2,2,4,3,2,2,3,3,2,3,5,2,4,1
1052,5,ES,4,4,9,2,3,3,3,3,3,4,3,3,3,3,1,2,4,3,4,1
1056,5,ES,2,4,9,2,2,2,3,1,4,2,3,1,1,3,2,2,5,2,3,1
1058,5,ES,1,1,4,1,1,3,2,2,4,2,1,4,4,4,3,3,4,3,4,1
1060,5,ES,3,3,1,1,2,2,2,2,2,2,2,3,4,3,2,3,3,3,4,3
1061,5,ES,4,1,9,4,3,1,3,3,4,4,4,4,4,4,4,4,5,1,2,1
1062,5,ES,3,3,1,1,2,1,1,1,4,2,1,3,3,3,3,3,4,2,4,3
1063,5,ES,4,4,1,1,3,2,2,2,4,2,2,2,3,3,3,3,3,2,4,1
1064,5,ES,4,3,9,1,1,1,1,1,4,2,1,4,4,3,3,3,3,1,3,3
1065,5,ES,4,3,9,2,2,2,2,2,4,2,2,2,3,2,2,3,6,3,4,1
1066,5,ES,2,3,2,2,3,4,4,4,3,4,2,2,3,3,3,3,5,3,4,3
1067,5,ES,1,3,9,2,4,2,2,2,4,2,2,2,2,3,3,3,4,3,4,3
1069,5,ES,1,2,2,2,1,2,2,1,4,4,3,4,2,2,2,2,6,1,4,1
1070,5,ES,4,1,9,2,2,2,1,1,4,2,1,2,3,3,3,3,1,2,4,1
1071,5,ES,4,4,2,2,3,2,4,4,2,3,1,2,3,3,2,3,5,1,3,1
1073,5,ES,1,4,2,1,2,2,1,1,4,2,3,4,4,2,2,4,5,2,4,2
1077,5,ES,4,4,9,2,1,1,1,1,3,4,1,1,2,1,2,1,1,4,4,1
1078,5,ES,4,3,2,1,2,2,2,2,3,3,1,3,1,1,1,1,3,3,4,3
1080,5,ES,4,4,9,2,2,3,2,2,3,2,2,2,2,2,2,2,3,3,4,3
1082,5,ES,4,4,1,2,2,1,1,2,3,2,1,4,4,4,3,4,4,1,4,2
1085,5,ES,4,4,2,3,1,3,3,2,2,3,3,2,3,2,2,1,5,3,4,1
1086,5,ES,2,2,9,2,2,3,2,2,3,4,1,3,4,2,2,4,2,2,4,1
1088,5,ES,2,2,1,2,3,3,3,3,3,2,1,2,2,3,3,2,5,2,4,1
1092,5,ES,1,1,9,2,2,2,1,1,4,4,1,4,4,3,3,3,3,2,4,1
1099,5,ES,4,4,9,1,2,3,3,2,4,4,3,3,3,3,2,3,1,2,4,2
1100,5,ES,3,4,9,3,2,2,3,2,4,4,3,3,3,2,2,3,2,3,4,1
1101,5,ES,1,2,1,1,1,1,1,1,4,3,1,4,4,1,2,2,4,2,4,1
1102,5,ES,1,1,9,1,2,2,2,2,4,3,1,3,4,3,3,3,6,3,4,1
1103,5,ES,1,1,1,1,3,1,1,1,3,1,1,1,3,4,1,3,1,1,4,3
1104,5,ES,1,3,2,3,2,2,2,1,3,2,1,4,4,3,3,2,5,2,4,1
